Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
testing-menu-shippingfee-3,Testing Menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-catering-menu-shippingfee-1,Custom Catering Menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-shippingfee-2,Testing Menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-shippingfee-1,Testing menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-shippingfee-1,Peranakan Mini Buffet Set B-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
new-testing-menu-shippingfee,New Testing menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-shippingfee,Testing menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,30.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-8,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-catering-menu-shippingfee,Custom Catering Menu-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-catering-menu-2,Custom Catering Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-shippingfee,Peranakan Mini Buffet Set-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
abc-shippingfee-1,ABC-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
abc-shippingfee,ABC-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
null-shippingfee,null-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,19.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-shippingfee,Peranakan Mini Buffet Set B-shippingfee,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-22,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,29.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
abc,ABC,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-9,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
vkamwnjek,vkamwnjek,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,12.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
product-without-image,product without image,,Catering-test-store-0,,"","",true,Product Type,guest,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
new-testing-menu,New Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
menu-for-testing,Menu for testing,,Catering-test-store-0,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-21,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,23.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-20,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,23.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-19,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,23.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-18,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,23.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-product-120324,Testing product 120324,,Catering-test-store-0,,"","",true,Product Type,guest,,,,,,,,,0.0,,deny,manual,15.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-product,Testing product,,Catering-test-store-0,,"","",true,Product Type,guest,,,,,,,,,0.0,,deny,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/file_02f15f71-d050-4866-9e32-f646f739f414.png?v=1733139627,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set,Peranakan Mini Buffet Set,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-catering-menu-1,Custom Catering Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,15.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
